County,Excess Mortality
"Muskegon County, MI",0 ( -16.7 - 16.7 )
"Wood County, WV",-0.1 ( -33.9 - 33.7 )
"Vigo County, IN",-0.2 ( -11.5 - 11.1 )
"Solano County, CA",-0.2 ( -7.7 - 7.3 )
"Ottawa County, MI",-0.3 ( -8.8 - 8.2 )
"DeKalb County, GA",-0.6 ( -4.1 - 3 )
"Madison County, IN",-0.6 ( -24.3 - 23.1 )
"Sussex County, NJ",-0.7 ( -13.5 - 12.1 )
"Delaware County, PA",-0.7 ( -17.9 - 16.5 )
"Somerset County, NJ",-0.7 ( -8.9 - 7.5 )
"Mercer County, PA",-0.8 ( -19.4 - 17.8 )
"Taylor County, TX",-0.8 ( -4.8 - 3.1 )
"Cuyahoga County, OH",-0.9 ( -24.9 - 23.2 )
"Weld County, CO",-0.9 ( -2.3 - 0.6 )
"Hudson County, NJ",-1 ( -7.5 - 5.6 )
"Canadian County, OK",-1 ( -3.9 - 1.9 )
"Middlesex County, CT",-1 ( -12.5 - 10.5 )
"Hartford County, CT",-1 ( -9.1 - 7.1 )
"Eaton County, MI",-1 ( -10.8 - 8.8 )
"Rockland County, NY",-1.1 ( -7.2 - 5 )
"Santa Barbara County, CA",-1.1 ( -6.1 - 3.9 )
"Hamblen County, TN",-1.2 ( -22.6 - 20.2 )
"Morris County, NJ",-1.2 ( -7.2 - 4.8 )
"Montgomery County, MD",-1.3 ( -5.7 - 3.1 )
"Burlington County, NJ",-1.3 ( -14.4 - 11.8 )
"Beaver County, PA",-1.4 ( -43.7 - 40.9 )
"Walworth County, WI",-1.4 ( -4.9 - 2.1 )
"Bexar County, TX",-1.4 ( -6.7 - 3.9 )
"Kitsap County, WA",-1.5 ( -8.3 - 5.4 )
"Worcester County, MA",-1.8 ( -9.7 - 6 )
"Hampton city, VA",-1.9 ( -17.4 - 13.6 )
"Montgomery County, PA",-1.9 ( -10.3 - 6.5 )
"Lubbock County, TX",-1.9 ( -7.1 - 3.2 )
"Kings County, CA",-2 ( -10 - 6 )
"Williamson County, TN",-2 ( -4.8 - 0.8 )
"Hillsborough County, NH",-2.1 ( -11.7 - 7.5 )
"Buncombe County, NC",-2.1 ( -17.6 - 13.4 )
"Livingston County, MI",-2.2 ( -18.6 - 14.2 )
"Fayette County, WV",-2.2 ( -45.3 - 40.9 )
"Otero County, NM",-2.3 ( -5.7 - 1.1 )
"Washington County, RI",-2.3 ( -11.9 - 7.2 )
"Smith County, TX",-2.6 ( -5.4 - 0.2 )
"Indian River County, FL",-2.6 ( -11.7 - 6.5 )
"LaSalle County, IL",-2.7 ( -28.9 - 23.4 )
"Yellowstone County, MT",-2.9 ( -10.3 - 4.5 )
"Essex County, MA",-3 ( -11.8 - 5.9 )
"Muskogee County, OK",-3 ( -24.7 - 18.7 )
"Washington County, MN",-3.1 ( -10.3 - 4.1 )
"Fairbanks North Star Borough, AK",-3.1 ( -12.3 - 6.1 )
"New Castle County, DE",-3.2 ( -13.1 - 6.8 )
"Middlesex County, NJ",-3.2 ( -11.6 - 5.3 )
"Santa Fe County, NM",-3.2 ( -18.7 - 12.2 )
"Polk County, IA",-3.3 ( -10.7 - 4 )
"Will County, IL",-3.4 ( -8 - 1.3 )
"Shawnee County, KS",-3.4 ( -12.4 - 5.7 )
"Forsyth County, GA",-3.4 ( -12.9 - 6.1 )
"Dauphin County, PA",-3.5 ( -11.7 - 4.7 )
"Wilkes County, NC",-3.5 ( -24.3 - 17.2 )
"Barnstable County, MA",-3.6 ( -14.7 - 7.5 )
"Champaign County, IL",-3.6 ( -15.2 - 8 )
"Boulder County, CO",-3.6 ( -14.8 - 7.5 )
"Santa Cruz County, CA",-3.7 ( -13.5 - 6.1 )
"Strafford County, NH",-3.8 ( -20.9 - 13.2 )
"Madison County, IL",-4 ( -20.3 - 12.3 )
"Camden County, NJ",-4 ( -19.5 - 11.5 )
"Nye County, NV",-4.1 ( -20.9 - 12.8 )
"San Francisco County, CA",-4.1 ( -18 - 9.8 )
"St. Francois County, MO",-4.2 ( -24.1 - 15.6 )
"Manatee County, FL",-4.3 ( -24.6 - 16.1 )
"Potter County, TX",-4.4 ( -18.9 - 10.1 )
"Tippecanoe County, IN",-4.8 ( -16.7 - 7.2 )
"Clermont County, OH",-4.8 ( -17.6 - 8 )
"New London County, CT",-5.1 ( -14 - 3.8 )
"Rock Island County, IL",-5.4 ( -13.6 - 2.8 )
"McLean County, IL",-5.8 ( -14 - 2.3 )
"Monroe County, FL",-6.2 ( -30.6 - 18.3 )
"Coconino County, AZ",-6.3 ( -17.9 - 5.3 )
"Sacramento County, CA",-6.5 ( -12.5 - -0.5 )
"Pike County, KY",-6.8 ( -31.4 - 17.8 )
"Essex County, NJ",-7.2 ( -17.7 - 3.3 )
"Ouachita Parish, LA",-7.3 ( -14.5 - -0.2 )
"Jefferson County, MO",-7.6 ( -15.2 - 0 )
"Bonneville County, ID",-7.6 ( -29.4 - 14.2 )
"Hampshire County, MA",-7.9 ( -21.8 - 5.9 )
"Greene County, MO",-8 ( -20.3 - 4.2 )
"Gloucester County, NJ",-8.3 ( -21.3 - 4.7 )
"Wise County, VA",-8.3 ( -25.1 - 8.5 )
"Calvert County, MD",-8.5 ( -18.2 - 1.2 )
"Wayne County, NC",-8.5 ( -18.6 - 1.6 )
"Bristol County, MA",-8.5 ( -21.5 - 4.4 )
"Robeson County, NC",-8.6 ( -31.9 - 14.7 )
"Kent County, DE",-8.8 ( -16.5 - -1 )
"Wilson County, TN",-8.8 ( -30.1 - 12.5 )
"Wood County, OH",-9.1 ( -18.3 - 0.2 )
"Bell County, KY",-9.2 ( -88 - 69.7 )
"Carroll County, MD",-9.5 ( -19.9 - 0.8 )
"Vermilion County, IL",-10.6 ( -30 - 8.7 )
"Yavapai County, AZ",-13.1 ( -29.7 - 3.4 )
"Bay County, FL",-13.1 ( -32.9 - 6.6 )
"Indiana County, PA",-14.4 ( -48.7 - 19.9 )
"Morgan County, IN",-14.5 ( -32.4 - 3.3 )
"Summit County, OH",-15.2 ( -54.4 - 24 )
"Oswego County, NY",-15.3 ( -30.3 - -0.3 )
"Windham County, CT",-16.3 ( -29 - -3.6 )
"Lake County, CA",-22 ( -56.2 - 12.2 )
